epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.4895,1.79781,3.25497,1.65412,0.00617,0.84746,0.29558,0.09573,1.79538,3.51307,1.74562,0.00014,0.00014,0.00014
2,138.359,1.76884,2.42117,1.40597,0.00654,0.89831,0.53339,0.19684,1.78309,3.22132,1.57707,0.00029406,0.00029406,0.00029406
3,201.856,1.67925,2.14188,1.40535,0.00642,0.88136,0.49866,0.17706,1.65133,3.26793,1.51935,0.000441784,0.000441784,0.000441784
4,267.31,1.60133,1.9948,1.34901,0.33848,0.76271,0.57176,0.21035,1.69726,3.13896,1.52408,0.000583172,0.000583172,0.000583172
5,331.227,1.62474,1.82404,1.35292,0.82351,0.1585,0.49977,0.18084,1.76345,3.11343,1.51934,0.000718224,0.000718224,0.000718224
6,399.639,1.66004,1.92733,1.40083,1,0.1401,0.46472,0.16163,1.92269,3.03348,1.62577,0.00084694,0.00084694,0.00084694
7,498.758,1.67292,1.80091,1.42887,0.84213,0.09101,0.29387,0.10585,1.94853,3.1632,1.68448,0.00096932,0.00096932,0.00096932
8,563.224,1.61874,1.72427,1.36575,0.2681,0.22034,0.23571,0.08234,2.0395,2.98885,1.82647,0.00108536,0.00108536,0.00108536
9,626.11,1.61947,1.68051,1.38141,0.36281,0.08475,0.12547,0.04582,2.03063,3.44953,1.89675,0.00119507,0.00119507,0.00119507
10,688.953,1.63626,1.68056,1.39562,0.38639,0.27119,0.17261,0.05816,2.16487,3.24992,2.07049,0.00129844,0.00129844,0.00129844
11,752.061,1.73399,1.82516,1.466,0.67014,0.47458,0.4699,0.18988,2.05192,2.63396,1.8373,0.00139548,0.00139548,0.00139548
12,815.675,1.56257,1.74761,1.37012,0.21397,0.30508,0.1955,0.05297,2.15852,2.93521,1.89067,0.00148618,0.00148618,0.00148618
13,877.239,1.63638,1.65921,1.3873,0.04085,0.18644,0.02676,0.00799,2.22749,4.39435,1.89391,0.0015248,0.0015248,0.0015248
14,939.847,1.57005,1.58509,1.33488,0.15949,0.35059,0.10315,0.02955,2.0876,3.21344,1.81879,0.0014852,0.0014852,0.0014852
15,1039.1,1.5655,1.66364,1.37499,0.23488,0.49153,0.16927,0.05896,1.99278,2.68111,1.74134,0.0014456,0.0014456,0.0014456
